ID	reference	n_reads	n_alns	read_length_mean	read_length_std	read_length_min	read_length_max	read_length_median	read_length_mode	gc_content	read_aligned_length	read_aln_score	mapping_quality	edit_distances	read_ani_mean	read_ani_std	read_ani_median	bases_covered	max_covered_bases	mean_covered_bases	coverage_mean	coverage_mean_trunc	coverage_mean_trunc_len	coverage_covered_mean	reference_length	bam_reference_length	breadth	exp_breadth	breadth_exp_ratio	n_bins	site_density	entropy	norm_entropy	gini	norm_gini	c_v	d_i	cov_evenness	tax_abund_read	tax_abund_aln	tax_abund_tad	n_reads_tad
AF014	CP080568.1	15	15	81.6	25.653738240542758	30	123	78.0	104	39.869281045751634	81.6		36.2					1222	123	81.46666666666667	0.0007923663092588846	0	0	1.0	1542216	1542216	0.0007923663092588846	0.0007920524699722709	1.0	15	0.7923663092588846	1.9683579603620047	0.7458602401462439	0.5751695113397242	0.6184526063359839	0.0	0.0	0.0	10	10	0	0
AF014	MWWS01000005.1	4	4	108.0	73.84217403805678	33	198	100.5	33	47.91666666666667	108.0		33.5					431	198	107.75	0.002148522205550266	0	0	1.0	200603	200603	0.002148522205550266	0.002146215783811578	1.0	31	2.148522205550266	1.1996657282234027	0.3527766454521632	0.9106728538283062	0.9410903173311634	0.0	0.0	0.0	20	20	0	0
AF014	GCA_016860625.1_ASM1686062v1_genomic_pseudocromosoma	42	42	81.95238095238095	34.272902174474396	34	174	73.0	54	46.281231841952355	81.95238095238095		35.23809523809524					3441	174	81.92857142857143	0.0019617255431374383	0	0	1.0	1754068	1754068	0.0019617255431374383	0.0019598026172072958	1.0	22	1.9617255431374383	2.58923158112406	0.8504563773858426	0.4931844286682996	0.517465026321147	0.0	0.0	0.0	24	24	0	0
AF014	MWWS01000004.1	21	21	75.71428571428571	23.147662640411138	34	119	74.0	56	47.861635220125784	75.71428571428571		36.42857142857143					1590	119	75.71428571428571	0.0021713836220317597	0	0	1.0	732252	732252	0.0021713836220317597	0.0021690278740007507	1.0	20	2.1713836220317595	2.392930367398717	0.8126991049982645	0.5211519364448858	0.5488753416018498	0.0	0.0	0.0	29	29	0	0
AF014	JGYP01000002.1	20	20	38.15	9.143735272679436	30	60	35.0	30	65.3997378768021	38.15		28.5					557	60	39.785714285714285	0.0008556663754556255	0	0	1.3680430879712746	890534	890534	0.0006254674161795058	0.0008553003973750251	0.7312839069163393	19	0.6254674161795057	2.2160639731617886	0.7667128552854716	0.5732096548972672	0.6062209056284384	888.7573044287952	675.8819249863117	0.0	22	22	0	0
AF014	GCA_963580325.1_LMG_30235_genomic_pseudocromosoma	9	9	51.888888888888886	15.398412616601464	34	86	51.0	51	59.95717344753747	51.888888888888886		22.666666666666668					240	94	60.0	0.0003305172880486658	0	0	1.9333333333333333	1403860	1403860	0.00017095721795620645	0.0003304626732270055	0.5173268626280536	13444	0.17095721795620647	1.7041760077610362	0.3109447696878852	0.9996751717126633	0.9859135285913502	3245.0438343512474	3480.4493339104506	0.0	6	6	0	0
AF014	JGYP01000004.1	9	9	50.0	9.848857801796104	32	60	53.0	58	59.111111111111114	50.0		19.88888888888889					352	62	50.285714285714285	0.001503452930229761	0	0	1.2784090909090908	299311	299311	0.0011760342920908353	0.0015023233110537104	0.7828103867109536	2337	1.1760342920908353	2.020714969459023	0.34461836171899307	0.9972053043275217	0.9842495467495463	298.54869030670375	134.00474495668934	0.0	30	30	0	0
AF014	MWWS01000009.1	3	3	97.0	56.34713834792323	62	162	67.0	62	50.171821305841924	97.0		37.0					291	162	97.0	0.0017178580494341695	0	0	1.0	169397	169397	0.0017178580494341695	0.0017163833758426783	1.0	33	1.7178580494341695	0.9936416737706792	0.2867456790305173	0.9277276632302406	0.9572419968659056	0.0	0.0	0.0	18	18	0	0
AF014	CP042446.1	35	35	45.371428571428574	10.767832580765498	30	72	43.0	36	54.15617128463476	45.371428571428574		26.571428571428573					530	100	48.18181818181818	0.0012510047082264209	0	0	2.9924528301886792	1267781	1267781	0.0004180532757629275	0.0012502225280407453	0.3343830929187216	14	0.4180532757629275	1.0153093161008622	0.39584818523564524	0.8328011611030479	0.90173775671406	4236.931153982742	22457.518110220142	0.0	28	28	0	0
AF014	CP007446.1	19	19	39.31578947368421	12.279398427080789	30	77	36.0	32	63.98929049531459	39.31578947368421		27.68421052631579					746	77	39.26315789473684	0.00029509750480423484	0	0	1.0	2527978	2527978	0.00029509750480423484	0.00029505396781825954	1.0	13	0.29509750480423486	2.089362478607776	0.840827374311096	0.43878462913315464	0.477400439775226	0.0	0.0	0.0	8	8	0	0
