ID	reference	n_reads	n_alns	read_length_mean	read_length_std	read_length_min	read_length_max	read_length_median	read_length_mode	gc_content	read_aligned_length	read_aln_score	mapping_quality	edit_distances	read_ani_mean	read_ani_std	read_ani_median	bases_covered	max_covered_bases	mean_covered_bases	coverage_mean	coverage_mean_trunc	coverage_mean_trunc_len	coverage_covered_mean	reference_length	bam_reference_length	breadth	exp_breadth	breadth_exp_ratio	n_bins	site_density	entropy	norm_entropy	gini	norm_gini	c_v	d_i	cov_evenness	tax_abund_read	tax_abund_aln	tax_abund_tad	n_reads_tad
AF042D	Crithidia bombi GCA_900240985.1_crithidia-bombi.GDC.2013.v1_genomic_pseudocromosoma	1937	1937	3.493.856.479.091.370	5.587.105.561.822.290	30	83	33.0	30	3.335.155.742.065.130	3.493.753.226.639.130		3.236.293.236.964.370					32822	91	337.327.852.004.111	0.002088435526505161	0	0	2.039.881.786.606.540	32058926	32058926	0.0010238022321770854	0.002086256262379127	0.4907365651281788	33	10.238.022.321.770.800	3.446.068.759.775.970	0.9943252913569512	0.112321765888733	0.11575385692181528	4.382.998.558.149.860	4.012.025.899.997.020	0.0	60	60	0	0
AF042D	Gilliamella mensalis GCA_900103085.1_LMG29880_genomic_pseudocromosoma	585	585	43.888.888.888.888.800	1.843.378.458.165.990	30	202	37.0	31	371.840.311.587.147	43.888.888.888.888.800		32.654.700.854.700.800					25310	202	4.440.350.877.192.980	0.011211636200755258	0	0	1.012.682.734.097.190	2286107	2286107	0.011071222825528288	0.011149020035965407	0.9930220584243141	31	11.071.222.825.528.200	3.344.501.736.609.130	0.9833307258684768	0.18215725009877537	0.18821733738535587	11.056.777.886.875.100	13.706.487.298.234.500	0.0	256	256	0	0
AF042D	Snodgrassella gandavensis GCA_914768025.1_LMG_30236_genomic_pseudocromosoma	378	378	3.801.851.851.851.850	10.108.807.301.917.200	30	121	35.0	30	459.606.151.276.877	3.801.851.851.851.850		3.216.931.216.931.210					14194	121	3.805.361.930.294.900	0.005712790910180418	0	0	10.108.496.547.837.100	2511557	2511557	0.005651474364308674	0.005696503949614851	0.9920952244210729	28	5.651.474.364.308.670	3.248.863.364.473.210	0.9857477382852963	0.16900724875925677	0.17516779978964037	18.134.520.778.665.500	1.878.713.239.585.380	0.0	151	151	0	0
AF042D	Snodgrassella communis GCA_914768045.1_LMG_28360_genomic_pseudocromosoma	138	138	36.231.884.057.971.000	409.252.452.752.053	30	49	36.0	34	28.88	36.231.884.057.971.000		27.753.623.188.405.700					377	55	3.427.272.727.272.720	0.002159879503279593	0	0	13.251.989.389.920.400	2313092	2313092	0.0001629853027895129	0.0021575486419738166	0.0755418902817445	15	0.1629853027895129	1.756.676.277.910.720	0.6656570243771179	0.6265630920803336	0.6738952536824878	16.195.441.381.098.100	5.665.198.091.372.130	0.0	60	60	0	0
AF042D	Gilliamella bombicola GCA_900094945.1_IMG-taxon_2617270739_annotated_assembly_genomic_pseudocromosoma	119	119	47.924.369.747.899.100	24.462.409.648.851.600	30	157	39.0	32	37.243.556.023.145.700	47.924.369.747.899.100		30.638.655.462.184.800					5696	157	47.865.546.218.487.300	0.0024525676178403628	0	0	1.0	2322464	2322464	0.0024525676178403628	0.0024495625311085067	1.0	25	24.525.676.178.403.600	3.037.125.517.579.010	0.9556563746114508	0.29043773408239715	0.3023838630806846	0.0	0.0	0.0	51	51	0	0
AF042D	Vairimorpha apis GCA_000447185.1_NapisBRLv01_genomic_pseudocromosoma	44	44	4.711.363.636.363.630	23.477.070.366.231.200	30	102	33.0	30	7.187.650.747.708.630	4.711.363.636.363.630		3.359.090.909.090.900					1266	112	4.083.870.967.741.930	0.0002366431410997193	0	0	16.121.642.969.984.200	8624801	8624801	0.00014678599541021294	0.00023661514332018463	0.620357570316554	15	0.14678599541021295	23.553.633.353.348.100	0.8925068305714344	0.40622884224779965	0.4358318098720292	4.109.891.487.936.320	39.971.885.281.724.200	0.0	5	5	0	0
AF042D	Vairimorpha ceranae GCA_000988165.1_ASM98816v1_genomic_pseudocromosoma	17	17	3.388.235.294.117.640	5.611.175.823.091.540	30	50	31.0	31	2.204.861.111.111.110	3.388.235.294.117.640		341.764.705.882.353					564	48	331.764.705.882.353	9,82E+09	0	0	1.0	5744248	5744248	9,82E+09	9,82E+10	1.0	12	0.0981851758489536	21.941.047.638.814.600	0.9150271100447325	0.3197936814958091	0.34900284900284917	0.0	0.0	0.0	3	3	0	0
AF042D	Vairimorpha bombi GCA_059492115.1_UIUC_Nbom_1_genomic_pseudocromosoma	15	15	31.933.333.333.333.300	1.791.514.389.985.130	30	36	32.0	30	22.546.972.860.125.200	31.933.333.333.333.300		35.4					447	41	31.928.571.428.571.400	7,36E+10	0	0	10.447.427.293.064.800	6343490	6343490	7,05E+10	7,36E+10	0.9572086809402	12	0.07046594224945574	19.530.144.850.923.500	0.814494154846969	0.44702054098027266	0.4885186852769025	28.113.772.323.985.000	5.818.712.076.964.480	0.0	2	2	0	0
AF042D	Apilactobacillus kunkeei CP080568.1	12	12	36.666.666.666.666.600	47.161.874.689.651.800	31	44	35.0	33	23.636.363.636.363.600	36.666.666.666.666.600		33.0					96	48	48.0	0.0002924363383598666	0	0	4.697.916.666.666.660	1542216	1542216	6,22E+10	0.0002923935830216884	0.21289143598314933	8086	0.06224808976174544	10.379.826.447.384.500	0.22741092510837907	0.9996959389816533	0.9846491228070184	10.278.059.569.847.400	3.089.253.862.177.610	0.0	8	8	0	0
AF042D	Fructobacillus tropaeoli GCA_016860625.1_ASM1686062v1_genomic_pseudocromosoma	11	11	4.245.454.545.454.540	13.299.350.633.498.100	30	72	39.0	41	3.854.389.721.627.400	4.245.454.545.454.540		3.372.727.272.727.270					467	72	4.245.454.545.454.540	0.0002662382530209775	0	0	1.0	1754068	1754068	0.0002662382530209775	0.00026620281476241736	1.0	18	0.26623825302097753	19.971.373.256.319.500	0.7049428940184115	0.6358483436201032	0.6724324324324323	0.0	0.0	0.0	6	6	0	0
